Qualification présentée;Code Etablissement;Libellé Etablissement;Commune Etablissement;Division de classe;Catégorie candidat;Numéro Candidat;Date de naissance;Résultat;LP001 - 1 - Histoire - Géographie - Contrôle continu (livret);LP002 - 1 - Enseignement moral et civique - Contrôle continu (livret);LP003 - 1 - Langue vivante A - Anglais - Contrôle continu (livret);LP003 - 1 - Langue vivante A - Arabe - Contrôle continu (livret);LP003 - 1 - Langue vivante A - Espagnol - Contrôle continu (livret);LP004 - 1 - Langue vivante B - Anglais - Contrôle continu (livret);LP004 - 1 - Langue vivante B - Arabe - Contrôle continu (livret);LP004 - 1 - Langue vivante B - Espagnol - Contrôle continu (livret);LP005 - 1 - Enseignement scientifique - Contrôle continu (livret);LP007 - 1 - Enseignement scientifique (incluant mathématiques spécifiques en 1ère) - Contrôle continu (livret);LP012 - 1 - Histoire-géographie, géopolitique et sciences politiques - Contrôle continu (livret);LP014 - 1 - Mathématiques - Contrôle continu (livret);LP015 - 1 - Numérique et sciences informatiques - Contrôle continu (livret);LP016 - 1 - Physique-Chimie - Contrôle continu (livret);LP017 - 1 - Sciences de la vie et de la terre - Contrôle continu (livret);LP018 - 1 - Sciences de l'ingénieur - Contrôle continu (livret);LP019 - 1 - Sciences économiques et sociales - Contrôle continu (livret);LP020 - 1 - Langues, littératures et cultures étrangères et régionales - Anglais, monde contemporain - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Anglais - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Arabe - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Art - Théâtre - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Education physique et sportive - Contrôle continu (livret);LP060 - 1 - Enseignement optionnel - Espagnol - Contrôle continu (livret);T001 - 1 - Français écrit - Ponctuel;T002 - 1 - Français oral - Ponctuel;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;1;24/09/2007;;19,40;18,60;20,00;;;;;20,00;19,50;;;19,90;17,60;16,70;;;;;;20,00;;;;19,00;20,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;10;14/03/2007;;16,00;17,10;19,90;;;;17,60;;19,80;;;16,10;;14,50;18,80;;;;;;;17,80;;12,00;9,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;11;26/03/2007;;10,00;13,10;12,50;;;;14,50;;11,30;;;8,00;;;12,30;;;19,90;;;;;;9,00;3,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;12;29/10/2007;;14,00;16,30;18,50;;;;18,90;;15,40;;;13,70;;14,80;15,50;;;;;;;;;9,00;11,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;13;05/10/2007;;11,60;14,70;17,60;;;;13,90;;;10,70;13,70;;;;;;13,10;15,50;;;;;;10,00;13,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;14;18/11/2007;;15,90;17,40;19,90;;;;19,10;;18,40;;;16,20;;14,50;16,70;;;;;;;;19,20;18,00;14,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;15;04/10/2007;;15,70;17,10;18,30;;;;16,70;;13,30;;14,10;9,80;;;;;13,10;;;;;;;14,00;13,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;16;20/06/2007;;13,20;14,90;17,80;;;;15,50;;;10,00;12,10;;;;;;8,80;9,50;;;;;;10,00;7,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;17;15/06/2007;;15,90;16,80;19,60;;;;18,20;;16,00;;;15,30;;14,00;16,40;;;;;;;;16,50;8,00;10,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;18;01/09/2007;;17,20;16,90;17,50;;;;;16,70;15,10;;;14,30;;;;;15,70;16,60;;;;;;16,00;15,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;19;25/07/2007;;15,60;15,90;16,30;;;;17,10;;17,40;;;12,60;;10,10;15,30;;;;;;;;;12,00;20,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;2;24/09/2007;;15,10;18,20;19,40;;;;17,70;;16,00;;;10,60;;8,20;12,60;;;;;;;17,50;;12,00;10,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;20;20/08/2007;;12,10;13,10;17,80;;;;14,20;;9,50;;12,80;7,20;;;;;11,10;;;;;;;8,00;9,00;
Baccalauréat général;3500050C;LFI ANDRE MALRAUX;RABAT;1GrA;SCOLAIRE;21;07/06/2007;;16,20;16,60;;19,20;;16,10;;;16,40;;16,00;EA;;;;;15,50;;;;;;;10,00;14,00;
